localityname_value,buyrates_value_1,buyrates_value_2,buyratesqqa_value,buyratesqqa_image,buyratesqqa_image/_alt,buyrates_value_3,rentalrates_value_1,rentalrates_value_2,rentalrates_value_3,rentalrates_value_4,rentalrates_value_5,rentalrates_value_6
Kondhwa Budruk,Rs.,"4,250 - 4,930/sq. ft.",0%,,,See Trends,Rs.,"6,431 - 7,915",Rs.,"8,032 - 9,492",Rs.,"14,729 - 19,638"
Koregaon Mul,Rs.,"2,380 - 2,805/sq. ft.",-,,,Not Available,,-,,-,,-
Koregaon Park,Rs.,"9,562 - 12,325/sq. ft.",2.80%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"13,138 - 15,484",Rs.,"22,482 - 28,348",Rs.,"35,700 - 47,124"
Koregaon Park Annexe,Rs.,"7,310 - 8,798/sq. ft.",-,,,Not Available,,-,,-,,-
Kothrud,Rs.,"7,522 - 8,925/sq. ft.",2.13%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"9,418 - 10,831",Rs.,"12,920 - 15,342",Rs.,"19,508 - 22,950"
Kranti Nagar,Rs.,"5,695 - 6,630/sq. ft.",-,,,Not Available,Rs.,"7,204 - 7,684",Rs.,"11,003 - 11,737",,-
Krushna Colony,Rs.,"4,548 - 4,760/sq. ft.",-,,,Not Available,,-,,-,,-
Kunj Colony,,-,-,,,Not Available,,-,Rs.,"13,178 - 14,826",,-
Kutwal Colony,Rs.,"4,505 - 5,142/sq. ft.",-,,,See Trends,Rs.,"6,188 - 7,514",Rs.,"9,293 - 10,008",,-
Law College Road,Rs.,"12,240 - 13,685/sq. ft.",-2.24%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,,-,,-
Laxman Nagar,Rs.,"7,182 - 8,118/sq. ft.",-,,,Not Available,,-,Rs.,"15,924 - 16,861",Rs.,"21,675 - 24,225"
Laxmi Nagar,Rs.,"5,228 - 6,035/sq. ft.",9.76%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,,-,Rs.,"11,900 - 14,450",,-
Lohegaon,Rs.,"3,995 - 4,505/sq. ft.",1.01%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"5,610 - 7,140",Rs.,"8,772 - 10,234",Rs.,"13,260 - 14,365"
Loni Kalbhor,Rs.,"3,060 - 3,655/sq. ft.",-1.35%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,,-,,-
Lullanagar,Rs.,"5,780 - 6,970/sq. ft.",-1.33%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,Rs.,"7,650 - 9,180",Rs.,"13,376 - 15,286",Rs.,"16,022 - 20,952"
Maan,Rs.,"4,888 - 5,015/sq. ft.",-,,,Not Available,,-,,-,,-
Madhav Nagar,,-,-,,,Not Available,Rs.,"7,153 - 8,583",Rs.,"10,011 - 11,552",Rs.,"12,155 - 14,365"
Magarpatta,Rs.,"6,332 - 7,310/sq. ft.",0%,,,See Trends,Rs.,"11,628 - 12,597",Rs.,"15,254 - 18,644",Rs.,"23,118 - 28,256"
Mahadev Nagar,Rs.,"3,995 - 4,718/sq. ft.",-,,,Not Available,Rs.,"8,568 - 9,996",Rs.,"11,067 - 13,280",,-
Mahalunge,Rs.,"5,100 - 5,610/sq. ft.",4.24%,http://www.99acres.com/images/icons/greenUp.gif,,See Trends,Rs.,"7,371 - 7,832",Rs.,"8,415 - 9,945",,-
Mamurdi,Rs.,"3,570 - 3,612/sq. ft.",-12.50%,http://www.99acres.com/images/icons/redDwn.gif,,See Trends,,-,,-,,-
