place_id,name,types,main_category
ChIJ83g6zObAwjsRc5onGT7zArI,Kasbe Provision Store,"grocery_or_supermarket, clothing_store, food, point_of_interest, store, establishment",retail_general
ChIJoR68tWjBwjsRAlsOeRBKRoc,Hari Om Provision Store,"food, point_of_interest, store, establishment",retail_general
ChIJaZZ3b3TBwjsRxFgwadd6G7Y,Cosmetics,"point_of_interest, store, establishment",retail_general
ChIJJXpbCi3BwjsR3c2lnGObRBM,George Mini Market,"point_of_interest, establishment",other
ChIJZXaxpefAwjsRpPrGu89UehU,Nandkumar Book Store,"book_store, point_of_interest, store, establishment",retail_general
ChIJD4_zp-bAwjsRXJN6a8JTaec,Firdous Bakery,"bakery, food, point_of_interest, store, establishment",food
ChIJr4cnq5HBwjsRqYGUPLupCDo,Royal Mutton & Chicken Shop,"clothing_store, point_of_interest, store, establishment",retail_general
ChIJnQb1iCu_wjsRDFQPErNFLUg,SHIV AQUACULTURE,"pet_store, point_of_interest, store, establishment",retail_general
ChIJb-ES3uXAwjsR_zR4UQcQAyQ,Pandav Medical & General Stores,"pharmacy, health, food, point_of_interest, store, establishment",retail_general
ChIJG4Jt1ODAwjsRiE_62qzZnZ4,Shandar General Store,"food, point_of_interest, store, establishment",retail_general
ChIJMavIIwDBwjsREiYSRYoZqjM,Pagal,"bakery, food, point_of_interest, store, establishment",food
ChIJodhd5bfBwjsRpEEhW_36xG4,Atul General Store,"clothing_store, point_of_interest, store, establishment",retail_general
ChIJU5Jum67BwjsRKLiVEq84HE4,Om Variety,"shoe_store, store, point_of_interest, establishment",retail_general
ChIJLwKJJKzBwjsRV9sySvGMRO8,Agarwal Store,"store, point_of_interest, establishment",retail_general
ChIJNyvHVLvBwjsRAAAA0MImZks,Al YASHRAB MINI MARKET,"convenience_store, food, store, point_of_interest, establishment",retail_general
ChIJefHAgrzBwjsR_9dGSnvsXVw,Chandan Department,"food, store, point_of_interest, establishment",retail_general
ChIJs2XrIKzBwjsRihjoQEYD4AE,India Cloth Stores,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJAQAAZK_BwjsRPeuUf23045c,Gupta Books And Cloth Merchant,"store, point_of_interest, establishment",retail_general
ChIJOa-pmUbBwjsRG-5xjny1kA4,Hari Om Super Sale,"store, point_of_interest, establishment",retail_general
ChIJSzF5JKzBwjsRuowxtW7BIos,Mahavir General Stores,"food, store, point_of_interest, establishment",retail_general
ChIJSTETt-3BwjsRa8osKGHCVdM,Paras Cloth store,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJr0PfCrzBwjsRTS8vSh9s-ro,Shree Balaji Varieties,"store, point_of_interest, establishment",retail_general
ChIJy42MJN_BwjsRUVCaveTOpaA,Swag Mens Collection,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJH95pp6TBwjsRYLYMG3JFzns,Prince Variety,"store, point_of_interest, establishment",retail_general
ChIJN8EZpJzBwjsRxrWVFGzGr0Q,INAAYA ENTERPRISE,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJDa65irvBwjsRKH-mll9Fsok,Shree Balaji Collection,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJuxzpq-fBwjsRAFlxBkrXbuI,Shopping outlet,"home_goods_store, store, point_of_interest, establishment",retail_general
ChIJ-Zd2nunBwjsRMIC8HdyljWU,MANIK MOBILE SHOPEE B T KAWADE,"store, point_of_interest, establishment",retail_general
ChIJ6ZoDgLzBwjsREpV06iv41HY,Rana Punjabi Boutique,"clothing_store, store, point_of_interest, establishment",retail_general
ChIJnfPROqzBwjsR6L_8he5-L4I,Sandeep General Stores,"store, food, point_of_interest, establishment",retail_general
ChIJk0BH_U3BwjsRburxp4q3-_g,"Arsh Inc. (Jockey, Swimwear, Sports & Custom Apparels shop))","clothing_store, store, point_of_interest, establishment",retail_general
ChIJ8RD2l67BwjsRnFeFmtC5GwE,A To Z Fashion Sale,"shoe_store, clothing_store, store, point_of_interest, establishment",retail_general
ChIJ76krYLvBwjsR6Zl6Mv954Ao,Jay Bhavani Mobile Shopee,"store, point_of_interest, establishment",retail_general
ChIJK3vtL6_BwjsRQLV6ODjLSA0,Shree Maharashtra General Store,"grocery_or_supermarket, store, food, point_of_interest, establishment",retail_general
ChIJ6WSosfLBwjsRfiS_0WQTwgc,Laxman Sales and Service,"home_goods_store, store, point_of_interest, establishment",retail_general
ChIJictTCLzBwjsRE-16FZnVoEE,Padmavati Medical & General Stores,"store, health, food, point_of_interest, establishment",retail_general
ChIJt3ppYLvBwjsRKwF35MwxIEo,Moon Chemist & General Stores,"drugstore, pharmacy, store, health, food, point_of_interest, establishment",retail_general
ChIJlVFRx6HBwjsRil6qJjabliQ,S K Stationery And Sarees Collection,"store, point_of_interest, establishment",retail_general
ChIJscQr4RvBwjsRhVyfhwIX7NY,Angel Shopping Hub,"shoe_store, store, point_of_interest, establishment",retail_general
ChIJc3CBX-7BwjsRT0iudjeExl8,SMART Point,"grocery_or_supermarket, store, food, point_of_interest, establishment",retail_general
ChIJY7Uk0ETAwjsRNiWx0f-f3VA,Chokilicious,"bakery, store, food, point_of_interest, establishment",food
ChIJdaUGf7vBwjsRu7OdEftyf4w,Darshana Mini Market,"store, point_of_interest, establishment",retail_general
ChIJRa5X32XBwjsRUMFGfzs2qNg,VIJBIN Business Solutions Pvt. Ltd.,"hardware_store, store, point_of_interest, establishment",retail_general
