place_id,name,latitude,longitude,address,types,rating,user_ratings_total,business_status
ChIJFWdXIR3AwjsRFc5AcrlA0ao,Subhash Motors,18.4861738,73.8547909,"Shop no-4,5 , Tirth Kunj Apartment opp HDFC bank, Aranyeshwar chowk city light bakery lane","car_repair, clothing_store, point_of_interest, store, establishment",4.4,161,OPERATIONAL
ChIJCX_PJoy_wjsRBwV69XIOdkI,Bata,18.5103052,73.8340746,"No. 1-2, Swaroop Complex, opp. HP Petrol Pump, Karve Road, Erandwane, Pune","shoe_store, clothing_store, point_of_interest, store, establishment",3.8,283,OPERATIONAL
ChIJNdDrOw3AwjsRv_jQUoFsji8,Saie Paranjape,18.5052161,73.8519756,"2126, Vijayanagar Colony, Sadashiv Peth, Pune","clothing_store, point_of_interest, store, establishment",4.5,44,OPERATIONAL
ChIJNW_P_6fqwjsR8EtlrNlYA14,Armour Bespoke – Pune’s Leading Atelier for Luxury Groomwear and Bespoke Men’s Fashion,18.483362,73.85373,"10, Mandar Bunglow, Parvati, Swami Vivekanand Society, Sant Nagar, Pune","clothing_store, point_of_interest, store, establishment",4.7,93,OPERATIONAL
ChIJ-35pGB3AwjsRv9RwxHkEv_g,Tara Fashions,18.4857744,73.85550429999999,"Ruturang Society, opp. Citylight Bakery, Parvathi, Aranyeshwar Road, Ruturang Society Phase II, Parvati Paytha, Pune","clothing_store, point_of_interest, store, establishment",4.6,8,CLOSED_TEMPORARILY
ChIJPeZVcBzAwjsRC3nMvs2JYkQ,PUMA Store,18.4894301,73.857236,"Ground Floor, Pushpa Prestige, near City Pride, Satara Road, Pune","shoe_store, clothing_store, point_of_interest, store, establishment",4.9,11933,OPERATIONAL
ChIJDzJVZRzAwjsRJ22ru4R5fk0,Denim hub,18.4892333,73.8572471,"692/A, Pune - Bengaluru Highway, Arihant Society, Parvati Industrial Estate, Maharshi Nagar, Pune","clothing_store, point_of_interest, store, establishment",3.9,58,OPERATIONAL
ChIJNelFgnPAwjsRSeF86_UCOgY,Dress Code,18.5088,73.848608,"Shakti Sports, 1645 Tilak Road,Near.Shakti Sport,Sadashiv Peth, opp. Nilanjan Arts, 1646, Tilak Road, Sadashiv Peth, Pune","clothing_store, point_of_interest, store, establishment",5,1,CLOSED_TEMPORARILY
ChIJI2hiYInBwjsRf4K62S_gHoA,Deeher Gifts,18.4958036,73.8583159,"703 , plot, Landmark, 1st floor , Shah chambers S no. 700 to, opposite to Laxminarayan theatre, 3, Pune - Satara Road, Gultekadi, Pune","clothing_store, point_of_interest, store, establishment",4.6,300,OPERATIONAL
ChIJY_diVw3AwjsRgfVvzdPbgKc,House of Celebrations by C'Lai - Tilak Road,18.505773,73.8534608,"1998, C'lai Corner, Tilak Road, Sadashiv Peth, Pune","clothing_store, point_of_interest, store, establishment",4.6,9179,OPERATIONAL
ChIJDSbIGT7AwjsRo_BBMC0xZio,SIGNATURE,18.5097965,73.84688129999999,"1549B, Indira Chambers, near Tilak hotel, Tilak Road, Sadashiv Peth, Pune","clothing_store, point_of_interest, store, establishment",4.5,13,CLOSED_TEMPORARILY
ChIJ6a--cHTAwjsRmG18gSNOmQU,Style,18.5092726,73.8482823,"1535, Shivmangal Society, Tilak Road, Sadashiv Peth, Pune","clothing_store, point_of_interest, store, establishment",4.5,14,OPERATIONAL
