place_id,name,latitude,longitude,rating,user_ratings_total,location_score,success_label,daily_footfall,footfall_category,monthly_revenue,profitability,index_right,cell_id,distance_to_cell_center,center_lat,center_lon,competitor_count,nearest_m,road_density_km,major_dist_m,commercial_rent_per_sqft,rental_zone,tier,confidence,locality,locality_dist_m,total_population,ward_id,ward_name,ward_zone,ward_dist_m,footfall_generator_count,nearest_generator_m,transit_stop_count,nearest_transit_m,avg_monthly_income,property_price_sqft,purchasing_power_index,income_tier,distance_to_city_center,rent_to_income_ratio,transit_accessibility_score,footfall_accessibility_score,competition_density,market_saturation,connectivity_score,main_category
ChIJnwGYmK7BwjsRTfSwqewdv60,Orient Combat Arts,18.525956,73.89529,4.6,35,92.0,1,10,Medium,41400,Low,2566,cell_2566,0.0002899911621511,18.52568152099306,73.89538357429602,8,0.0,19705.426715902664,1396.3852569271892,43.59,Central Pune,Grade A,High,Koregaon Park,984.9407301368192,79703,PMC_22,Koregaon Park,PMC,984.9407301368192,1,1034.2398031630803,1,39.574533158913255,45000.0,5000.0,57.69,Unknown,4120.650868687937,0.0006303359340926,0.9619319905436124,0.4915841281077481,0.0991289047495136,0.8918319342719865,8222.979447457594,services
ChIJ6Qe6GLnqwjsRrOPbOkaAd_Y,Integrative Medical,18.4824241,73.8543021,3.6,8,72.0,0,10,Low,32400,Low,2025,cell_2025,0.0009341828288871,18.483087931304407,73.85495938651064,12,0.0,34544.445818121014,0.0,20.02,South Pune,Grade B,Medium,Dhankawadi,2164.043895950548,76550,PMC_28,Parvati,PMC,385.2459627040662,1,0.0,1,640.9272753733029,45000.0,5000.0,57.69,Unknown,4152.970650592859,0.0006303359340926,0.6094115290834597,1.0,0.1547388781431334,1.386481802426343,34544.445818121014,services
ChIJ_7_Wp72_wjsRi7UdxES14Js,Body Fuel Fitness Club,18.5116951,73.8161521,4.4,569,88.0,1,51,High,201960,Medium,1501,cell_1501,0.0020191968329777,18.51290455695171,73.81453519872525,1,0.0,24696.22973955404,13.394074447068451,28.75,Central Pune,Grade A,Low,Kothrud pune,646.5129068771998,97187,PMC_4,Kothrud,PMC,646.5129068771998,1,108.11985286232084,1,75.56075708868032,45000.0,5000.0,57.69,Unknown,4523.243758072887,0.0006303359340926,0.9297475697298518,0.9024294596085048,0.0101846476621141,0.0932948958362488,24369.818575294987,services
ChIJZVIpOu-_wjsRQVbL1sACNA8,Evolvefitcircle,18.4938721,73.8252637,4.7,59,94.0,1,10,Medium,42300,Low,1615,cell_1615,0.0026507261423132,18.49586712078362,73.82351835156645,14,0.0,42760.824952903975,629.3739527400251,27.84,Central Pune,Grade B,High,Karve Nagar,661.7050490342081,91381,PMC_5,Karve Nagar,PMC,59.6299088800748,1,0.0,1,271.1162455873564,45000.0,5000.0,57.69,Unknown,4436.575164231462,0.0006303359340926,0.7867101089074043,1.0,0.1515463136359208,1.3809293654629566,26243.71457577037,services
ChIJBaXOb73qwjsRfRACubvziK8,FM4 Therapy by Sourobh Kulkorni ( Fitness Master ),18.4817294,73.86721880000002,4.6,1013,92.0,1,95,High,393299,Medium,2202,cell_2202,0.0018227999702924,18.483087931304407,73.86843411577242,6,0.0,40488.02774557613,43.85271995221677,20.02,South Pune,Grade B,Medium,Dhankawadi,2745.6788780722004,76550,PMC_28,Parvati,PMC,1187.2679515270431,1,76.62927806330845,1,1088.5538978693762,45000.0,5000.0,57.69,Unknown,4329.489139199704,0.0006303359340926,0.4788001885037025,0.9288248242689882,0.0773694390715667,0.6932409012131715,38787.10757915111,services
ChIJIxr0CgfBwjsRwb_Y_KeII4A,Chakra Fitness Community - Koregaon Park,18.5304202,73.900718,4.6,105,92.0,1,10,High,41400,Low,2626,cell_2626,0.000969897891428,18.529940296879264,73.89987515071661,2,0.0,30144.19362558572,1494.9651254416704,43.59,Central Pune,Grade A,High,Koregaon Park,525.9641331750407,79703,PMC_22,Koregaon Park,PMC,525.9641331750407,1,941.1403521189644,1,411.62190732732415,45000.0,5000.0,57.69,Unknown,4674.072683436143,0.0006303359340926,0.7084049877727789,0.5151611004883763,0.0247822261873784,0.2229579835679966,12082.01001216378,services
ChIJtzKDdObDwjsRBYwfEAnO7v8,Chandan Residency (Gandharva In),18.5625009,73.94071850000002,3.5,155,70.0,0,11,High,34650,Low,3165,cell_3165,0.0015630348034988,18.564006682665436,73.94029933850199,5,0.0,29665.22763147072,0.0,19.17,East Pune,Grade B,Low,kharadi,1333.0653239879025,92092,PMC_14,Kharadi,PMC,1265.5681518693457,2,0.0,1,166.43079708889127,45000.0,5000.0,57.69,Unknown,10059.077737979702,0.0006303359340926,0.8573161841197443,2.0,0.0537103080823271,0.4897543392234456,29665.22763147072,other
ChIJ-0PwTlzAwjsRQCOzUdUA95k,Flair Mania Bartending Academy | course | school | Institute | College | Training & Events in Pune,18.5232582,73.8686233,4.9,380,98.0,1,38,High,167580,Low,2211,cell_2211,0.0018452844630909,18.521422639029137,73.86843411577242,8,0.0,29666.22162483493,0.0,13.81,Pune,Grade C,Low,manjari farm,1056.235792694613,76264,PMC_26,Rasta Peth,PMC,46.15624894108623,4,0.0,4,0.0,45000.0,5000.0,57.69,Unknown,1242.4117255784138,0.0006303359340926,4.0,4.0,0.1035411058190101,0.9273856997125104,29666.22162483493,other
ChIJI_5PUl_AwjsRAXH13tYSj2Q,Rooftop Bar,18.5299785,73.8713497,4.3,33,86.0,1,10,Medium,38700,Low,2272,cell_2272,0.0015764551598161,18.529940296879264,73.87292569219302,2,0.0,14685.05472422302,0.0,13.81,Pune,Grade C,Low,manjari farm,1782.9386592169128,76264,PMC_26,Rasta Peth,PMC,1087.8607581081017,1,38.93060742225498,5,0.0,45000.0,5000.0,57.69,Unknown,2012.9469294349983,0.0006303359340926,5.0,0.9625281927935034,0.0258852764547525,0.2318464249281276,14685.05472422302,other
ChIJpfwh6fvAwjsRGbF6BaK9a_k,Evviva Sky Lounge @ Crowne Plaza Pune,18.5315153,73.8766521,3.9,489,78.0,0,39,High,136890,Low,2331,cell_2331,0.0017510333627832,18.529940296879264,73.87741726861361,3,0.0,14009.514876725156,0.0,43.59,Central Pune,Grade A,High,Koregaon Park,1860.6621022284828,76264,PMC_26,Rasta Peth,PMC,1315.9660237877367,8,0.0,1,22.52888344414532,45000.0,5000.0,57.69,Unknown,2428.268071524093,0.0006303359340926,0.9779674845288848,8.0,0.0388279146821288,0.3477696373921914,14009.514876725156,other
ChIJb8eKX3e_wjsR47yJ21IfIug,Marriott Club,18.533571,73.82954099999999,4.4,467,88.0,1,42,High,166320,Low,1683,cell_1683,0.001654848525862,18.53419896666687,73.82800992798704,36,0.0,22969.22741752345,0.0,25.56,Central Pune,Grade B,Low,Shivajinagar,1852.1043323588324,89957,PMC_7,Shivajinagar,PMC,1925.4039079231293,1,0.0,1,2.0798713974654675,45000.0,5000.0,57.69,Unknown,3391.758671557585,0.0006303359340926,0.9979244454889958,1.0,0.3957914179227547,3.6015486659263485,22969.22741752345,other
